[2019-12-22 18:31:54.730] [log] [debug] Sink file:"../../logs/log.log" attached to logger
[2019-12-22 18:31:55.320] [log] [trace] Starting cycle 124 (82.6667% Complete)
[2019-12-22 18:31:55.325] [log] [trace] Starting cycle 125 (83.3333% Complete)
[2019-12-22 18:31:55.330] [log] [trace] Starting cycle 126 (84% Complete)
[2019-12-22 18:31:55.335] [log] [trace] Starting cycle 127 (84.6667% Complete)
[2019-12-22 18:31:55.340] [log] [trace] Starting cycle 128 (85.3333% Complete)
[2019-12-22 18:31:55.345] [log] [trace] Starting cycle 129 (86% Complete)
[2019-12-22 18:31:55.350] [log] [trace] Starting cycle 130 (86.6667% Complete)
[2019-12-22 18:31:55.355] [log] [trace] Starting cycle 131 (87.3333% Complete)
[2019-12-22 18:31:55.360] [log] [trace] Starting cycle 132 (88% Complete)
[2019-12-22 18:31:55.364] [log] [trace] Starting cycle 133 (88.6667% Complete)
[2019-12-22 18:31:55.369] [log] [trace] Starting cycle 134 (89.3333% Complete)
[2019-12-22 18:31:55.374] [log] [trace] Starting cycle 135 (90% Complete)
[2019-12-22 18:31:55.380] [log] [trace] Starting cycle 136 (90.6667% Complete)
[2019-12-22 18:31:55.385] [log] [trace] Starting cycle 137 (91.3333% Complete)
[2019-12-22 18:31:55.390] [log] [trace] Starting cycle 138 (92% Complete)
[2019-12-22 18:31:55.394] [log] [trace] Starting cycle 139 (92.6667% Complete)
[2019-12-22 18:31:55.399] [log] [trace] Starting cycle 140 (93.3333% Complete)
[2019-12-22 18:31:55.404] [log] [trace] Starting cycle 141 (94% Complete)
[2019-12-22 18:31:55.409] [log] [trace] Starting cycle 142 (94.6667% Complete)
[2019-12-22 18:31:55.414] [log] [trace] Starting cycle 143 (95.3333% Complete)
[2019-12-22 18:31:55.419] [log] [trace] Starting cycle 144 (96% Complete)
[2019-12-22 18:31:55.424] [log] [trace] Starting cycle 145 (96.6667% Complete)
[2019-12-22 18:31:55.428] [log] [trace] Starting cycle 146 (97.3333% Complete)
[2019-12-22 18:31:55.433] [log] [trace] Starting cycle 147 (98% Complete)
[2019-12-22 18:31:55.438] [log] [trace] Starting cycle 148 (98.6667% Complete)
[2019-12-22 18:31:55.443] [log] [trace] Starting cycle 149 (99.3333% Complete)
[2019-12-22 18:31:55.448] [log] [debug] Completed 150 cycles in 0.707964 s
[2019-12-22 18:31:55.448] [log] [debug] Averaged 4719.76 µs per cycle
